Bubble Sort(100000),29.379,30.021,29.482,29.506,29.263,29.427,29.44,29.189,29.483,29.525,29.498,29.414,29.407,29.376,29.499,29.511,29.691,28.41,28.192,28.053,28.257,28.186,28.514,28.572,29.531
Bubble Sort(150000),64.782,64.171,64.815,64.712,63.429,64.96,64.2,64.147,64.46,64.327,64.207,63.76,65.136,70.694,69.95,69.998,69.529,69.518,69.511,69.528,69.581,69.487,69.656,69.758,67.191
Bubble Sort(200000),120.025,119.646,118.377,116.072,115.585,115.122,116.262,114.28,114.932,115.609,115,116.149,114.712,117.177,115.666,115.599,115.12,113.555,114.507,114.559,115.314,114.352,114.322,113.452,114.005
Bubble Sort(250000),181.35,181.175,179.064,180.251,181.631,179.612,180.656,180.915,178.7,181.311,181.743,180.651,180.618,183.615,182.12,181.593,180.655,180.208,179.146,181.396,181.204,181.051,181.726,183.192,183.168
Bubble Sort(300000),262.551,260.022,260.748,261.126,261.644,261.863,261.949,262.715,262.766,261.602,262.465,261.391,260.668,258.951,258.244,259.639,259.726,260.539,258.729,261.722,259.322,259.316,258.652,258.785,259.722
Bubble Sort(50000),7.241,7.302,6.923,6.976,7.124,7.227,6.91,6.806,6.872,6.838,6.867,6.779,6.924,6.825,6.92,7.088,6.836,6.885,6.828,6.874,6.772,6.918,6.767,6.909,7.029
Heap Sort(100000),0.03,0.028,0.031,0.024,0.025,0.025,0.025,0.024,0.024,0.026,0.026,0.025,0.025,0.025,0.024,0.026,0.026,0.024,0.026,0.025,0.023,0.026,0.025,0.025,0.025
Heap Sort(150000),0.038,0.039,0.04,0.039,0.039,0.038,0.041,0.038,0.038,0.04,0.039,0.04,0.039,0.041,0.04,0.04,0.04,0.041,0.039,0.039,0.04,0.04,0.04,0.04,0.038
Heap Sort(200000),0.053,0.055,0.056,0.053,0.053,0.054,0.055,0.052,0.054,0.052,0.06,0.051,0.053,0.053,0.053,0.052,0.052,0.055,0.053,0.052,0.053,0.053,0.052,0.052,0.052
Heap Sort(250000),0.068,0.069,0.068,0.071,0.066,0.066,0.066,0.065,0.068,0.068,0.067,0.067,0.07,0.068,0.069,0.069,0.066,0.067,0.07,0.065,0.068,0.069,0.066,0.065,0.071
Heap Sort(300000),0.082,0.084,0.083,0.083,0.082,0.084,0.083,0.084,0.08,0.08,0.081,0.082,0.079,0.083,0.082,0.081,0.081,0.082,0.081,0.081,0.079,0.083,0.08,0.08,0.084
Heap Sort(50000),0.014,0.011,0.013,0.01,0.011,0.013,0.013,0.013,0.012,0.011,0.011,0.013,0.012,0.011,0.014,0.012,0.011,0.012,0.01,0.011,0.011,0.012,0.011,0.012,0.011
Insertion Sort(100000),15.415,15.147,15.264,15.357,15.386,15.337,15.248,15.362,15.259,15.338,15.375,15.102,15.386,15.328,15.259,15.348,14.606,14.657,14.706,14.808,14.496,15.021,14.935,14.893,15.291
Insertion Sort(150000),33.521,32.86,33.283,32.975,32.784,33.131,33.394,33.455,32.604,33.168,33.242,33.141,36.705,36.487,35.952,37.32,36.055,35.962,36.004,35.936,35.914,35.939,35.929,36.872,34.83
Insertion Sort(200000),61.187,65.986,59.125,59.473,59.018,59.457,59.368,58.962,59.145,59.176,59.309,59.125,58.879,59.73,59.545,59.739,59.079,59.103,58.717,58.799,59.202,58.949,58.104,58.387,58.98
Insertion Sort(250000),94.116,93.411,92.576,92.065,92.015,91.855,92.358,92.205,92.78,93.11,92.448,92.746,92.1,93.542,92.5,92.472,92.928,92.514,92.56,92.99,92.862,93.678,92.991,93.759,92.854
Insertion Sort(300000),134.45,134.164,133.74,133.901,134.088,133.233,134.311,135.103,134.294,134.877,134.028,133.41,134.061,133.575,133.095,133.402,132.994,132.487,132.524,132.512,134.222,133.28,133.198,133.609,132.854
Insertion Sort(50000),3.765,3.844,3.707,3.75,3.814,3.855,3.711,3.623,3.713,3.622,3.655,3.72,3.635,3.674,3.695,3.717,3.689,3.737,3.66,3.698,3.754,3.626,3.693,3.775,3.705
Quick Sort(100000),0.013,0.015,0.015,0.014,0.014,0.014,0.016,0.015,0.014,0.016,0.014,0.016,0.014,0.016,0.014,0.016,0.017,0.014,0.014,0.015,0.015,0.013,0.015,0.014,0.013
Quick Sort(150000),0.021,0.023,0.02,0.022,0.024,0.022,0.021,0.023,0.021,0.022,0.021,0.022,0.022,0.021,0.021,0.021,0.022,0.021,0.022,0.023,0.02,0.022,0.022,0.022,0.022
Quick Sort(200000),0.028,0.03,0.029,0.027,0.029,0.031,0.029,0.03,0.029,0.029,0.027,0.029,0.027,0.029,0.029,0.029,0.029,0.03,0.028,0.028,0.027,0.028,0.029,0.029,0.029
Quick Sort(250000),0.035,0.035,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.036,0.036,0.036,0.036,0.037,0.036,0.036,0.036,0.035,0.037,0.036,0.036,0.037,0.036,0.036
Quick Sort(300000),0.043,0.044,0.043,0.044,0.042,0.041,0.043,0.043,0.043,0.043,0.042,0.043,0.042,0.044,0.044,0.042,0.042,0.045,0.044,0.042,0.044,0.043,0.043,0.044,0.042
Quick Sort(50000),0.007,0.007,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.008,0.006,0.007,0.006,0.006,0.006,0.007,0.007,0.006,0.008,0.007,0.006,0.007
Selection Sort(100000),12.017,11.908,11.913,11.849,11.873,11.926,11.882,11.845,11.875,11.867,11.92,11.9,11.853,11.9,11.828,11.921,11.269,11.505,11.346,11.335,11.32,11.503,11.59,11.515,11.467
Selection Sort(150000),25.872,25.388,25.884,25.621,25.317,25.315,25.705,25.863,25.608,25.697,25.535,25.678,28.791,27.924,27.783,27.918,27.768,27.765,27.717,27.758,27.774,27.804,27.795,27.141,26.953
Selection Sort(200000),47.62,49.971,45.73,46.154,46.067,45.935,45.633,45.273,45.853,46.075,45.726,45.434,45.661,45.773,46.052,45.714,46.061,46.129,45.631,45.965,45.564,45.671,45.603,45.543,46.425
Selection Sort(250000),72.175,72.134,71.89,72.038,71.739,71.241,71.063,71.642,71.817,71.877,71.693,70.479,71.919,72.516,73.141,72.288,71.627,71.374,71.322,72.109,72.346,72.048,72.203,72.71,72.159
Selection Sort(300000),104.161,104.05,103.632,104.374,103.862,103.908,104.675,105.331,103.815,103.232,103.429,103.986,103.485,103.6,102.932,103.367,102.868,103.209,103.213,103.064,103.659,103.574,102.755,102.354,102.337
Selection Sort(50000),2.996,2.965,2.994,2.962,2.901,2.853,2.891,2.861,2.928,2.847,2.851,2.912,2.863,2.866,3.011,2.884,2.845,2.85,2.871,2.894,2.853,2.892,2.874,2.929,2.887
