Bubble Sort(100000),Bubble Sort(150000),Bubble Sort(200000),Bubble Sort(250000),Bubble Sort(300000),Bubble Sort(50000),Heap Sort(100000),Heap Sort(150000),Heap Sort(200000),Heap Sort(250000),Heap Sort(300000),Heap Sort(50000),Insertion Sort(100000),Insertion Sort(150000),Insertion Sort(200000),Insertion Sort(250000),Insertion Sort(300000),Insertion Sort(50000),Quick Sort(100000),Quick Sort(150000),Quick Sort(200000),Quick Sort(250000),Quick Sort(300000),Quick Sort(50000),Selection Sort(100000),Selection Sort(150000),Selection Sort(200000),Selection Sort(250000),Selection Sort(300000),Selection Sort(50000)
29.379,64.782,120.025,181.35,262.551,7.241,0.03,0.038,0.053,0.068,0.082,0.014,15.415,33.521,61.187,94.116,134.45,3.765,0.013,0.021,0.028,0.035,0.043,0.007,12.017,25.872,47.62,72.175,104.161,2.996
30.021,64.171,119.646,181.175,260.022,7.302,0.028,0.039,0.055,0.069,0.084,0.011,15.147,32.86,65.986,93.411,134.164,3.844,0.015,0.023,0.03,0.035,0.044,0.007,11.908,25.388,49.971,72.134,104.05,2.965
29.482,64.815,118.377,179.064,260.748,6.923,0.031,0.04,0.056,0.068,0.083,0.013,15.264,33.283,59.125,92.576,133.74,3.707,0.015,0.02,0.029,0.036,0.043,0.008,11.913,25.884,45.73,71.89,103.632,2.994
29.506,64.712,116.072,180.251,261.126,6.976,0.024,0.039,0.053,0.071,0.083,0.01,15.357,32.975,59.473,92.065,133.901,3.75,0.014,0.022,0.027,0.036,0.044,0.006,11.849,25.621,46.154,72.038,104.374,2.962
29.263,63.429,115.585,181.631,261.644,7.124,0.025,0.039,0.053,0.066,0.082,0.011,15.386,32.784,59.018,92.015,134.088,3.814,0.014,0.024,0.029,0.036,0.042,0.006,11.873,25.317,46.067,71.739,103.862,2.901
29.427,64.96,115.122,179.612,261.863,7.227,0.025,0.038,0.054,0.066,0.084,0.013,15.337,33.131,59.457,91.855,133.233,3.855,0.014,0.022,0.031,0.036,0.041,0.006,11.926,25.315,45.935,71.241,103.908,2.853
29.44,64.2,116.262,180.656,261.949,6.91,0.025,0.041,0.055,0.066,0.083,0.013,15.248,33.394,59.368,92.358,134.311,3.711,0.016,0.021,0.029,0.036,0.043,0.006,11.882,25.705,45.633,71.063,104.675,2.891
29.189,64.147,114.28,180.915,262.715,6.806,0.024,0.038,0.052,0.065,0.084,0.013,15.362,33.455,58.962,92.205,135.103,3.623,0.015,0.023,0.03,0.036,0.043,0.006,11.845,25.863,45.273,71.642,105.331,2.861
29.483,64.46,114.932,178.7,262.766,6.872,0.024,0.038,0.054,0.068,0.08,0.012,15.259,32.604,59.145,92.78,134.294,3.713,0.014,0.021,0.029,0.036,0.043,0.006,11.875,25.608,45.853,71.817,103.815,2.928
29.525,64.327,115.609,181.311,261.602,6.838,0.026,0.04,0.052,0.068,0.08,0.011,15.338,33.168,59.176,93.11,134.877,3.622,0.016,0.022,0.029,0.037,0.043,0.007,11.867,25.697,46.075,71.877,103.232,2.847
29.498,64.207,115,181.743,262.465,6.867,0.026,0.039,0.06,0.067,0.081,0.011,15.375,33.242,59.309,92.448,134.028,3.655,0.014,0.021,0.027,0.036,0.042,0.006,11.92,25.535,45.726,71.693,103.429,2.851
29.414,63.76,116.149,180.651,261.391,6.779,0.025,0.04,0.051,0.067,0.082,0.013,15.102,33.141,59.125,92.746,133.41,3.72,0.016,0.022,0.029,0.036,0.043,0.006,11.9,25.678,45.434,70.479,103.986,2.912
29.407,65.136,114.712,180.618,260.668,6.924,0.025,0.039,0.053,0.07,0.079,0.012,15.386,36.705,58.879,92.1,134.061,3.635,0.014,0.022,0.027,0.036,0.042,0.008,11.853,28.791,45.661,71.919,103.485,2.863
29.376,70.694,117.177,183.615,258.951,6.825,0.025,0.041,0.053,0.068,0.083,0.011,15.328,36.487,59.73,93.542,133.575,3.674,0.016,0.021,0.029,0.036,0.044,0.006,11.9,27.924,45.773,72.516,103.6,2.866
29.499,69.95,115.666,182.12,258.244,6.92,0.024,0.04,0.053,0.069,0.082,0.014,15.259,35.952,59.545,92.5,133.095,3.695,0.014,0.021,0.029,0.037,0.044,0.007,11.828,27.783,46.052,73.141,102.932,3.011
29.511,69.998,115.599,181.593,259.639,7.088,0.026,0.04,0.052,0.069,0.081,0.012,15.348,37.32,59.739,92.472,133.402,3.717,0.016,0.021,0.029,0.036,0.042,0.006,11.921,27.918,45.714,72.288,103.367,2.884
29.691,69.529,115.12,180.655,259.726,6.836,0.026,0.04,0.052,0.066,0.081,0.011,14.606,36.055,59.079,92.928,132.994,3.689,0.017,0.022,0.029,0.036,0.042,0.006,11.269,27.768,46.061,71.627,102.868,2.845
28.41,69.518,113.555,180.208,260.539,6.885,0.024,0.041,0.055,0.067,0.082,0.012,14.657,35.962,59.103,92.514,132.487,3.737,0.014,0.021,0.03,0.036,0.045,0.006,11.505,27.765,46.129,71.374,103.209,2.85
28.192,69.511,114.507,179.146,258.729,6.828,0.026,0.039,0.053,0.07,0.081,0.01,14.706,36.004,58.717,92.56,132.524,3.66,0.014,0.022,0.028,0.035,0.044,0.007,11.346,27.717,45.631,71.322,103.213,2.871
28.053,69.528,114.559,181.396,261.722,6.874,0.025,0.039,0.052,0.065,0.081,0.011,14.808,35.936,58.799,92.99,132.512,3.698,0.015,0.023,0.028,0.037,0.042,0.007,11.335,27.758,45.965,72.109,103.064,2.894
28.257,69.581,115.314,181.204,259.322,6.772,0.023,0.04,0.053,0.068,0.079,0.011,14.496,35.914,59.202,92.862,134.222,3.754,0.015,0.02,0.027,0.036,0.044,0.006,11.32,27.774,45.564,72.346,103.659,2.853
28.186,69.487,114.352,181.051,259.316,6.918,0.026,0.04,0.053,0.069,0.083,0.012,15.021,35.939,58.949,93.678,133.28,3.626,0.013,0.022,0.028,0.036,0.043,0.008,11.503,27.804,45.671,72.048,103.574,2.892
28.514,69.656,114.322,181.726,258.652,6.767,0.025,0.04,0.052,0.066,0.08,0.011,14.935,35.929,58.104,92.991,133.198,3.693,0.015,0.022,0.029,0.037,0.043,0.007,11.59,27.795,45.603,72.203,102.755,2.874
28.572,69.758,113.452,183.192,258.785,6.909,0.025,0.04,0.052,0.065,0.08,0.012,14.893,36.872,58.387,93.759,133.609,3.775,0.014,0.022,0.029,0.036,0.044,0.006,11.515,27.141,45.543,72.71,102.354,2.929
29.531,67.191,114.005,183.168,259.722,7.029,0.025,0.038,0.052,0.071,0.084,0.011,15.291,34.83,58.98,92.854,132.854,3.705,0.013,0.022,0.029,0.036,0.042,0.007,11.467,26.953,46.425,72.159,102.337,2.887
29.15304,66.86028,115.57596,181.07004,260.59428,6.9376,0.02552,0.03944,0.05332,0.06768,0.08176,0.0118,15.13296,34.69852,59.46176,92.7774,133.65648,3.71348,0.01464,0.02172,0.02872,0.03604,0.043,0.00656,11.72508,26.73496,46.05052,71.902,103.55488,2.8992
,,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,Heap Sort,,,,,,,,,,,,,,,,,,,,,,,
,50000,6.9376,3.71348,2.8992,0.00656,0.0118,,,,,,,,,,,,,,,,,,,,,,,
,100000,29.15304,15.13296,11.72508,0.01464,0.02552,,,,,,,,,,,,,,,,,,,,,,,
,150000,66.86028,34.69852,26.73496,0.02172,0.03944,,,,,,,,,,,,,,,,,,,,,,,
,200000,115.57596,59.46176,46.05052,0.02872,0.05332,,,,,,,,,,,,,,,,,,,,,,,
,250000,181.07004,92.7774,71.902,0.03604,0.06768,,,,,,,,,,,,,,,,,,,,,,,
,300000,260.59428,133.65648,103.55488,0.043,0.08176,,,,,,,,,,,,,,,,,,,,,,,